object_id,field,field_group,value,certainty,source_id,locator
IBI-C30A015175D7,biblical_quotations,biblical_intertexts,"[""Isa. 40.12""]",reported,SRC-73C44B143A9D,"p. 159, distribution table, IM 114987"
IBI-C30A015175D7,current_or_reported_collection,location,Iraq Museum,reported,SRC-73C44B143A9D,"p. 159, distribution table, IM 114987"
IBI-C30A015175D7,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-73C44B143A9D,"p. 159, distribution table, IM 114987"
IBI-C31D6B6016A8,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1886-0109-9
IBI-C31D6B6016A8,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1886-0109-9
IBI-C31D6B6016A8,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1886-0109-9
IBI-C31D6B6016A8,production_place,provenance,Made in: Iraq,reported,SRC-3D4B57D27A24,Related objects: 1886-0109-9
IBI-C364057B0E9A,catalogue_language_codes,language,heb,reported,SRC-B94E1CE84725,MMS 997008712397805171
IBI-C364057B0E9A,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-B94E1CE84725,MMS 997008712397805171
IBI-C364057B0E9A,dating,dating,400–899 CE,reported,SRC-B94E1CE84725,MMS 997008712397805171
IBI-C364057B0E9A,dimensions,dimensions,Height 72 mm; source field ‘הקף’ 159 mm,reported,SRC-B94E1CE84725,MMS 997008712397805171
IBI-C37AC08EF228,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1980-0415-31-p
IBI-C37AC08EF228,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1980-0415-31-p
IBI-C37AC08EF228,findspot,provenance,Found/Acquired: Iraq,reported,SRC-3D4B57D27A24,Related objects: 1980-0415-31-p
IBI-C37AC08EF228,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1980-0415-31-p
IBI-C37AC08EF228,production_place,provenance,Made in: Iraq,reported,SRC-3D4B57D27A24,Related objects: 1980-0415-31-p
